Category	Accession	Patient_ID	Gene	Value
Luminal A	GSM4201292	9992576148_R03C02	LRRC25	0.5454105
Luminal A	GSM4201292	9992576148_R03C02	MARK2P9	0.5200728
Luminal A	GSM4201292	9992576148_R03C02	MCHR2	0.542012975
Luminal A	GSM4201292	9992576148_R03C02	MTMR11	0.44982444285714285
Luminal A	GSM4201292	9992576148_R03C02	PAX9	0.503741075
Luminal A	GSM4201292	9992576148_R03C02	PTPN22	0.6233428666666667
Luminal A	GSM4201292	9992576148_R03C02	RAP1GAP2	0.5188624125
Luminal A	GSM4201292	9992576148_R03C02	SPAG6	0.56316725
Luminal A	GSM4201293	9992576158_R01C01	ABCA8	0.5059889
Luminal A	GSM4201293	9992576158_R01C01	CUX2	0.41377944
Luminal A	GSM4201293	9992576158_R01C01	CYP1B1-AS1	0.624736
Luminal A	GSM4201293	9992576158_R01C01	FGD2	0.55952925
Luminal A	GSM4201293	9992576158_R01C01	FGF13	0.508270746983871
Luminal A	GSM4201293	9992576158_R01C01	HORMAD2	0.6384532
Luminal A	GSM4201293	9992576158_R01C01	LRRC25	0.47689415
Luminal A	GSM4201293	9992576158_R01C01	MARK2P9	0.34199884999999997
Luminal A	GSM4201293	9992576158_R01C01	MCHR2	0.56337695
Luminal A	GSM4201293	9992576158_R01C01	MTMR11	0.40902674285714286
Luminal A	GSM4201293	9992576158_R01C01	PAX9	0.52239385
Luminal A	GSM4201293	9992576158_R01C01	PTPN22	0.5892944333333333
Luminal A	GSM4201293	9992576158_R01C01	RAP1GAP2	0.5206939
Luminal A	GSM4201293	9992576158_R01C01	SPAG6	0.46783962
Luminal A	GSM4201294	9992576158_R05C01	ABCA8	0.3244267
Luminal A	GSM4201294	9992576158_R05C01	CUX2	0.57948341
Luminal A	GSM4201294	9992576158_R05C01	CYP1B1-AS1	0.7230464999999999
Luminal A	GSM4201294	9992576158_R05C01	FGD2	0.6310307500000001
Luminal A	GSM4201294	9992576158_R05C01	FGF13	0.4372926824597573
Luminal A	GSM4201294	9992576158_R05C01	HORMAD2	0.7414192444444444
Luminal A	GSM4201294	9992576158_R05C01	LRRC25	0.75235955
Luminal A	GSM4201294	9992576158_R05C01	MARK2P9	0.66589505
Luminal A	GSM4201294	9992576158_R05C01	MCHR2	0.74709225
Luminal A	GSM4201294	9992576158_R05C01	MTMR11	0.3956351
Luminal A	GSM4201294	9992576158_R05C01	PAX9	0.521499115
Luminal A	GSM4201294	9992576158_R05C01	PTPN22	0.7553573666666666
Luminal A	GSM4201294	9992576158_R05C01	RAP1GAP2	0.721721275
Luminal A	GSM4201294	9992576158_R05C01	SPAG6	0.63403143
Luminal A	GSM4201295	9992576158_R02C02	ABCA8	0.3513292
Luminal A	GSM4201295	9992576158_R02C02	CUX2	0.34581515999999995
Luminal A	GSM4201295	9992576158_R02C02	CYP1B1-AS1	0.69076
Luminal A	GSM4201295	9992576158_R02C02	FGD2	0.56819725
Luminal A	GSM4201295	9992576158_R02C02	FGF13	0.5468394907824643
Luminal A	GSM4201295	9992576158_R02C02	HORMAD2	0.6754103444444445
Luminal A	GSM4201295	9992576158_R02C02	LRRC25	0.547317
Luminal A	GSM4201295	9992576158_R02C02	MARK2P9	0.2510717
Luminal A	GSM4201295	9992576158_R02C02	MCHR2	0.56876945
Luminal A	GSM4201295	9992576158_R02C02	MTMR11	0.3365642285714286
Luminal A	GSM4201295	9992576158_R02C02	PAX9	0.38631255000000003
Luminal A	GSM4201295	9992576158_R02C02	PTPN22	0.5284327
Luminal A	GSM4201295	9992576158_R02C02	RAP1GAP2	0.5037881625
Luminal A	GSM4201295	9992576158_R02C02	SPAG6	0.40199689
Luminal A	GSM4201296	9992576115_R02C01	ABCA8	0.2600367
Luminal A	GSM4201296	9992576115_R02C01	CUX2	0.4982065075
Luminal A	GSM4201296	9992576115_R02C01	CYP1B1-AS1	0.6765435
Luminal A	GSM4201296	9992576115_R02C01	FGD2	0.59334255
Luminal A	GSM4201296	9992576115_R02C01	FGF13	0.45185102530806953
Luminal A	GSM4201296	9992576115_R02C01	HORMAD2	0.6631615555555556
Luminal A	GSM4201296	9992576115_R02C01	LRRC25	0.45928460000000004
Luminal A	GSM4201296	9992576115_R02C01	MARK2P9	0.4176877
Luminal A	GSM4201296	9992576115_R02C01	MCHR2	0.220748625
Luminal A	GSM4201296	9992576115_R02C01	MTMR11	0.35190699999999997
Luminal A	GSM4201296	9992576115_R02C01	PAX9	0.509721275
Luminal A	GSM4201296	9992576115_R02C01	PTPN22	0.6171672666666667
Luminal A	GSM4201296	9992576115_R02C01	RAP1GAP2	0.6468399
Luminal A	GSM4201296	9992576115_R02C01	SPAG6	0.481824781
Luminal A	GSM4201297	9992576115_R06C01	ABCA8	0.3850731
Luminal A	GSM4201297	9992576115_R06C01	CUX2	0.530413355
Luminal A	GSM4201297	9992576115_R06C01	CYP1B1-AS1	0.7098563
Luminal A	GSM4201297	9992576115_R06C01	FGD2	0.64936855
Luminal A	GSM4201297	9992576115_R06C01	FGF13	0.5276573572776003
Luminal A	GSM4201297	9992576115_R06C01	HORMAD2	0.7467875333333334
Luminal A	GSM4201297	9992576115_R06C01	LRRC25	0.6227684
Luminal A	GSM4201297	9992576115_R06C01	MARK2P9	0.6169335
Luminal A	GSM4201297	9992576115_R06C01	MCHR2	0.692187125
Luminal A	GSM4201297	9992576115_R06C01	MTMR11	0.38734327142857145
Luminal A	GSM4201297	9992576115_R06C01	PAX9	0.6582127
Luminal A	GSM4201297	9992576115_R06C01	PTPN22	0.6013633
Luminal A	GSM4201297	9992576115_R06C01	RAP1GAP2	0.5752910875
Luminal A	GSM4201297	9992576115_R06C01	SPAG6	0.5575417500000001
Luminal B	GSM4201298	9992576115_R04C02	ABCA8	0.3083333
Luminal B	GSM4201298	9992576115_R04C02	CUX2	0.302919475
Luminal B	GSM4201298	9992576115_R04C02	CYP1B1-AS1	0.6126798499999999
Luminal B	GSM4201298	9992576115_R04C02	FGD2	0.46982925
Luminal B	GSM4201298	9992576115_R04C02	FGF13	0.615120893197645
Luminal B	GSM4201298	9992576115_R04C02	HORMAD2	0.7517512777777777
Luminal B	GSM4201298	9992576115_R04C02	LRRC25	0.5235906
Luminal B	GSM4201298	9992576115_R04C02	MARK2P9	0.5829523999999999
Luminal B	GSM4201298	9992576115_R04C02	MCHR2	0.61614545
Luminal B	GSM4201298	9992576115_R04C02	MTMR11	0.39304834285714285
Luminal B	GSM4201298	9992576115_R04C02	PAX9	0.65145415
Luminal B	GSM4201298	9992576115_R04C02	PTPN22	0.7029374333333334
Luminal B	GSM4201298	9992576115_R04C02	RAP1GAP2	0.346783775
Luminal B	GSM4201298	9992576115_R04C02	SPAG6	0.57264161
