Patient_ID	Gene	Value	Category
GSM1858438_5723654035_R01C02	MARK2P9	0.65077675212119	General
GSM1858438_5723654035_R01C02	MCHR2	0.08037469365389845	General
GSM1858438_5723654035_R01C02	MTMR11	0.36763878956967144	General
GSM1858438_5723654035_R01C02	PAX9	0.6648168547256345	General
GSM1858438_5723654035_R01C02	PTPN22	0.7217004411806527	General
GSM1858438_5723654035_R01C02	RAP1GAP2	0.6763745304854347	General
GSM1858438_5723654035_R01C02	SPAG6	0.6876969296704691	General
GSM1858439_5723654035_R02C02	ABCA8	0.490646459862657	General
GSM1858439_5723654035_R02C02	CUX2	0.40932581179920474	General
GSM1858439_5723654035_R02C02	CYP1B1-AS1	0.6163086577233055	General
GSM1858439_5723654035_R02C02	FGD2	0.4545776331155045	General
GSM1858439_5723654035_R02C02	FGF13	0.5102363210805876	General
GSM1858439_5723654035_R02C02	HORMAD2	0.6062253978368468	General
GSM1858439_5723654035_R02C02	LRRC25	0.507483646254422	General
GSM1858439_5723654035_R02C02	MARK2P9	0.48340644425103596	General
GSM1858439_5723654035_R02C02	MCHR2	0.24203886522075824	General
GSM1858439_5723654035_R02C02	MTMR11	0.3796409911880184	General
GSM1858439_5723654035_R02C02	PAX9	0.529244770072509	General
GSM1858439_5723654035_R02C02	PTPN22	0.27456923240970965	General
GSM1858439_5723654035_R02C02	RAP1GAP2	0.5115318360752819	General
GSM1858439_5723654035_R02C02	SPAG6	0.5127349458340261	General
GSM1858440_5723654035_R04C01	ABCA8	0.559944075498078	General
GSM1858440_5723654035_R04C01	CUX2	0.40083959271007474	General
GSM1858440_5723654035_R04C01	CYP1B1-AS1	0.59448805611944	General
GSM1858440_5723654035_R04C01	FGD2	0.49450234581277697	General
GSM1858440_5723654035_R04C01	FGF13	0.4222124913278049	General
GSM1858440_5723654035_R04C01	HORMAD2	0.6407106130837699	General
GSM1858440_5723654035_R04C01	LRRC25	0.43676723670872	General
GSM1858440_5723654035_R04C01	MARK2P9	0.470081565109318	General
GSM1858440_5723654035_R04C01	MCHR2	0.43260015391978474	General
GSM1858440_5723654035_R04C01	MTMR11	0.4565601997116039	General
GSM1858440_5723654035_R04C01	PAX9	0.5329107835571425	General
GSM1858440_5723654035_R04C01	PTPN22	0.5146456391299846	General
GSM1858440_5723654035_R04C01	RAP1GAP2	0.4408153149761756	General
GSM1858440_5723654035_R04C01	SPAG6	0.5085937322621852	General
GSM1858441_5723646043_R05C01	ABCA8	0.638920780711825	General
GSM1858441_5723646043_R05C01	CUX2	0.45475182770086026	General
GSM1858441_5723646043_R05C01	CYP1B1-AS1	0.6634915590670155	General
GSM1858441_5723646043_R05C01	FGD2	0.546840825926705	General
GSM1858441_5723646043_R05C01	FGF13	0.5216069731915727	General
GSM1858441_5723646043_R05C01	HORMAD2	0.5878826280888655	General
GSM1858441_5723646043_R05C01	LRRC25	0.42101236527631003	General
GSM1858441_5723646043_R05C01	MARK2P9	0.366371626353254	General
GSM1858441_5723646043_R05C01	MCHR2	0.4744953326237075	General
GSM1858441_5723646043_R05C01	MTMR11	0.5320669724521494	General
GSM1858441_5723646043_R05C01	PAX9	0.5080490856762583	General
GSM1858441_5723646043_R05C01	PTPN22	0.5334263642532513	General
GSM1858441_5723646043_R05C01	RAP1GAP2	0.48205111392287836	General
GSM1858441_5723646043_R05C01	SPAG6	0.4534157415839667	General
GSM1858442_5723654036_R01C02	ABCA8	0.396089204912734	General
GSM1858442_5723654036_R01C02	CUX2	0.40699003088221297	General
GSM1858442_5723654036_R01C02	CYP1B1-AS1	0.6318204888466175	General
GSM1858442_5723654036_R01C02	FGD2	0.47598927363577503	General
GSM1858442_5723654036_R01C02	FGF13	0.4450418114716281	General
GSM1858442_5723654036_R01C02	HORMAD2	0.5782551431840685	General
GSM1858442_5723654036_R01C02	LRRC25	0.427379855178482	General
GSM1858442_5723654036_R01C02	MARK2P9	0.427161194413616	General
GSM1858442_5723654036_R01C02	MCHR2	0.40492523626282373	General
GSM1858442_5723654036_R01C02	MTMR11	0.35507073043929754	General
GSM1858442_5723654036_R01C02	PAX9	0.34508108173652374	General
GSM1858442_5723654036_R01C02	PTPN22	0.5019505345209446	General
GSM1858442_5723654036_R01C02	RAP1GAP2	0.44472437006697824	General
GSM1858442_5723654036_R01C02	SPAG6	0.4217586006963991	General
GSM1858443_5723654036_R04C01	ABCA8	0.541196877710321	General
GSM1858443_5723654036_R04C01	CUX2	0.4537915521032517	General
GSM1858443_5723654036_R04C01	CYP1B1-AS1	0.682846303227907	General
GSM1858443_5723654036_R04C01	FGD2	0.4560888936023	General
GSM1858443_5723654036_R04C01	FGF13	0.5538186886385238	General
GSM1858443_5723654036_R04C01	HORMAD2	0.666909155086838	General
GSM1858443_5723654036_R04C01	LRRC25	0.4944141914539695	General
GSM1858443_5723654036_R04C01	MARK2P9	0.48893101658943205	General
GSM1858443_5723654036_R04C01	MCHR2	0.5167988498265822	General
GSM1858443_5723654036_R04C01	MTMR11	0.5149033549235884	General
GSM1858443_5723654036_R04C01	PAX9	0.5756296160915785	General
GSM1858443_5723654036_R04C01	PTPN22	0.5228370786806127	General
GSM1858443_5723654036_R04C01	RAP1GAP2	0.5201740562849044	General
GSM1858443_5723654036_R04C01	SPAG6	0.5732911823303237	General
GSM1858444_5723646043_R04C01	ABCA8	0.443202495451001	General
GSM1858444_5723646043_R04C01	CUX2	0.253071169525827	General
GSM1858444_5723646043_R04C01	CYP1B1-AS1	0.43321110451802747	General
GSM1858444_5723646043_R04C01	FGD2	0.703711518509317	General
GSM1858444_5723646043_R04C01	FGF13	0.39890464450554003	General
GSM1858444_5723646043_R04C01	HORMAD2	0.7170802419326335	General
GSM1858444_5723646043_R04C01	LRRC25	0.48159971347215	General
GSM1858444_5723646043_R04C01	MARK2P9	0.4499881458424515	General
GSM1858444_5723646043_R04C01	MCHR2	0.3571410856660235	General
GSM1858444_5723646043_R04C01	MTMR11	0.4042608134104784	General
GSM1858444_5723646043_R04C01	PAX9	0.6557619685641672	General
GSM1858444_5723646043_R04C01	PTPN22	0.7575729528810147	General
